nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
ACTION PROTEC SECURITE,,,a contacter,,,,,,,,,,,,securite,,CASTELNAU-LE-LEZ,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843117433,84311743300022,80.10Z,,,,,,,,,,,sirene,
ACTION PROTECTION AND SECURITY,,,a contacter,,,,,,,,,,,,securite,,RUEIL-MALMAISON,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751869587,75186958700038,80.10Z,,,,,,,,,,,sirene,
ACTION SECURITE,,,a contacter,,,,,,,,,,,,securite,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844674978,84467497800037,80.10Z,,,,,,,,,,,sirene,
ACTION SECURITE 31,,,a contacter,,,,,,,,,,,,securite,,FONSORBES,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794364091,79436409100015,80.10Z,,,,,,,,,,,sirene,
ACTION SECURITE EUROPE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,MEAUX,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481833754,48183375400064,80.10Z,,,,,,,,,,,sirene,
ACTION SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,MARLY-LE-ROI,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810812016,81081201600014,80.10Z,,,,,,,,,,,sirene,
ACTION SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,VITRY-SUR-SEINE,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905065066,90506506600011,80.10Z,,,,,,,,,,,sirene,
ACTIV,,,a contacter,,,,,,,,,,,,securite,,CHERBOURG-EN-COTENTIN,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533658167,53365816700044,80.10Z,,,,,,,,,,,sirene,
ACTIVE PREVENTION SECURITE,,,a contacter,,,,,,,,,,,,securite,,LES ESSARTS-LE-ROI,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831060280,83106028000037,80.10Z,,,,,,,,,,,sirene,
ACTIVE SECURITE,,,a contacter,,,,,,,,,,,,securite,,VERNEUIL-EN-HALATTE,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491678025,49167802500025,80.10Z,,,,,,,,,,,sirene,
